,Date,Price,Open,High,Low,Vol.,Change %,year
286,2019-10-10,53.55,52.69,53.97,51.38,613.94K,1.83%,2019
287,2019-10-09,52.59,52.57,53.74,52.31,632.67K,-0.08%,2019
288,2019-10-08,52.63,52.81,53.27,51.81,658.32K,-0.23%,2019
289,2019-10-07,52.75,52.69,54.06,52.59,549.02K,-0.11%,2019
290,2019-10-04,52.81,52.29,53.35,52.04,541.10K,0.69%,2019
291,2019-10-03,52.45,52.47,52.91,50.99,642.47K,-0.36%,2019
292,2019-10-02,52.64,54.0,54.42,52.17,590.31K,-1.83%,2019
293,2019-10-01,53.62,54.28,54.84,53.05,589.18K,-0.83%,2019
294,2019-09-30,54.07,56.54,56.57,53.98,532.52K,-3.29%,2019
295,2019-09-27,55.91,56.51,56.76,54.75,712.97K,-0.89%,2019
296,2019-09-26,56.41,56.69,56.84,55.41,599.65K,-0.14%,2019
297,2019-09-25,56.49,56.7,57.02,55.55,563.55K,-1.40%,2019
298,2019-09-24,57.29,58.44,58.49,56.69,591.53K,-2.30%,2019
299,2019-09-23,58.64,59.25,59.39,57.37,526.79K,0.95%,2019
300,2019-09-20,58.09,58.65,59.1,57.79,37.98K,-0.07%,2019
301,2019-09-19,58.13,58.2,59.54,58.01,112.33K,0.03%,2019
302,2019-09-18,58.11,58.81,59.43,57.67,216.96K,-2.07%,2019
303,2019-09-17,59.34,61.96,62.59,58.46,993.24K,-5.66%,2019
304,2019-09-16,62.9,61.48,63.38,58.77,1.40M,14.68%,2019
305,2019-09-13,54.85,55.15,55.68,54.44,599.47K,-0.44%,2019
306,2019-09-12,55.09,55.93,56.34,54.0,845.98K,-1.18%,2019
307,2019-09-11,55.75,57.89,58.3,55.61,858.77K,-2.87%,2019
308,2019-09-10,57.4,58.03,58.76,57.2,755.47K,-0.78%,2019
309,2019-09-09,57.85,56.8,58.16,56.58,646.99K,2.35%,2019
310,2019-09-06,56.52,56.19,56.95,54.83,714.29K,0.39%,2019
311,2019-09-05,56.3,55.95,57.76,55.75,712.47K,0.07%,2019
312,2019-09-04,56.26,53.92,56.58,53.84,682.30K,4.30%,2019
313,2019-09-03,53.94,55.0,55.24,52.84,970.80K,-1.32%,2019
314,2019-09-02,54.66,54.81,55.22,54.36,-,-0.26%,2019
315,2019-09-01,54.8,55.0,55.0,54.56,-,-0.54%,2019
316,2019-08-30,55.1,56.63,56.72,54.55,708.27K,-2.84%,2019
317,2019-08-29,56.71,55.88,56.89,55.43,630.76K,1.67%,2019
318,2019-08-28,55.78,55.71,56.75,55.34,674.05K,1.55%,2019
319,2019-08-27,54.93,53.76,55.72,53.69,596.62K,2.40%,2019
320,2019-08-26,53.64,53.25,55.26,52.96,679.02K,-0.98%,2019
321,2019-08-23,54.17,55.35,55.6,53.24,807.15K,-2.13%,2019
322,2019-08-22,55.35,55.94,56.46,54.85,621.57K,-0.59%,2019
323,2019-08-21,55.68,56.05,57.13,55.55,704.04K,-1.17%,2019
